Dell_product,Dell_product_id,Dell_price,Dell_specs,Dell_link
Dell UltraSharp 34 Curved Thunderbolt™  Hub Monitor - U3425WE,"Manufacturer part V124N
Dell part 210-BMDS",1049.99,"['34.14""', '3440 x 1440 at 120 Hz', 'IPS Black Technology', 'Height, Tilt, Swivel', 'DCI-P3 98%, Display P3 98%, sRGB 100%, BT.709 100%, DCI-P3, Display P3, sRGB & BT.709: Delta E < 2 (average)']",www.dell.com/en-ca/shop/dell-ultrasharp-34-curved-thunderbolt-hub-monitor-u3425we/apd/210-bmds/monitors-monitor-accessories
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DWF,"Manufacturer part W5HHN
Dell part 210-BFRP",999.99,"['34.18""', '3440 x 1440 (DisplayPort: 165 Hz, HDMI: 100 Hz)', 'AMD FreeSync™ Premium Pro Technology, VESA AdaptiveSync Display certification', '0.1 ms (grey-to-grey)', '1 x HDMI (ver2.0), 2 x DP (ver1.4), 2 x SuperSpeed USB 5 Gbps (USB 3.2 Gen1) downstream port [Front bottom, one with BC1.2 charging capability at 2A (max)], 2 x SuperSpeed USB 5 Gbps (USB 3.2 Gen1) downstream port (rear), 1 X SuperSpeed USB 5 Gbps (USB 3.2 Gen1) upstream port (rear), 1X Audio line-out port (rear), 1 x Headphone-out port (bottom)']",www.dell.com/en-ca/shop/alienware-34-curved-qd-oled-gaming-monitor-aw3423dwf/apd/210-bfrp/monitors-monitor-accessories
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DW,"Manufacturer part 4R75F
Dell part 210-BCYE",1299.99,"['34.18""', '3440 x 1440 (DisplayPort: 175 Hz, HDMI: 100 Hz)', 'NVIDIA® G-SYNC® ULTIMATE', '0.1 ms (grey-to-grey)', '2 x HDMI, DisplayPort 1.4, 2 x USB 3.2 Gen 1 downstream with Battery Charging 1.2, 2 x USB 3.2 Gen 1 downstream, USB 3.2 Gen 1 upstream, Audio line-out, Headphones']",www.dell.com/en-ca/shop/alienware-34-curved-qd-oled-gaming-monitor-aw3423dw/apd/210-bcye/monitors-monitor-accessories
Dell UltraSharp 32 4K Video Conferencing Monitor - U3223QZ,"Manufacturer part 516K0
Dell part 210-BDVU",1464.99,"['31.5""', '4K 3840 x 2160 at 60 Hz', 'IPS Black', 'Height, swivel, tilt', '100% Rec 709, 100% sRGB, 98% DCI-P3']",www.dell.com/en-ca/shop/dell-ultrasharp-32-4k-video-conferencing-monitor-u3223qz/apd/210-bdvu/monitors-monitor-accessories
Dell 34 Curved Monitor - P3424WE,"Manufacturer part H8H11
Dell part 210-BGZQ",909.99,"['34""', 'WQHD 3440 x 1440 at 60 Hz', 'IPS', 'Height, swivel, tilt', 'HDMI (HDCP 2.3), DisplayPort 1.2 (HDCP 2.3), LAN, USB-C 3.2 Gen 1 (power up to 90W), USB 3.2 Gen 1 upstream (Type B), 4 x USB 3.2 Gen 1 downstream (Type A)']",www.dell.com/en-ca/shop/dell-34-curved-monitor-p3424we/apd/210-bgzq/monitors-monitor-accessories
Dell UltraSharp 32 4K USB-C Hub Monitor - U3223QE,"Manufacturer part 53VX7
Dell part 210-BDPH",1089.99,"['31.5""', '4K 3840 x 2160 at 60 Hz', 'IPS Black Technology', 'Height, pivot (rotation), swivel, tilt', '100% Rec 709, 100% sRGB, 98% DCI-P3']",www.dell.com/en-ca/shop/dell-ultrasharp-32-4k-usb-c-hub-monitor-u3223qe/apd/210-bdph/monitors-monitor-accessories
Dell 24 Monitor - P2425H,"Manufacturer part H127Y
Dell part 210-BMGH",249.99,"['23.8""', '1920 x 1080', 'In-Plane Switching (IPS) technology', 'Height, Tilt, Swivel, Pivot', '1x HDMI 1.4 (HDCP 1.4) (Supports up to FHD 1920 x 1080 100Hz TMDS as per specified in HDMI 1.4), 1x DP 1.2 (HDCP 1.4), 1x VGA, 1x USB 3.2 Gen1 Type-B upstream, 3x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W PD (data only)']",www.dell.com/en-ca/shop/dell-24-monitor-p2425h/apd/210-bmgh/monitors-monitor-accessories
Dell 24 Monitor - P2423D,"Manufacturer part WM44D
Dell part 210-BDKE",419.99,"['23.8""', 'QHD 2560 x 1440 at 60 Hz', 'IPS', 'Height, swivel, tilt', 'DisplayPort 1.2 (HDCP 1.4), HDMI (HDCP 1.4), USB 3.2 Gen 1 upstream, 4 x USB 3.2 Gen 1 downstream']",www.dell.com/en-ca/shop/dell-24-monitor-p2423d/apd/210-bdke/monitors-monitor-accessories
Dell 24 Monitor - E2424HS,"Manufacturer part CGJGF
Dell part 210-BGPK",179.99,"['23.8""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Height, swivel, tilt', 'DisplayPort 1.2, VGA, HDMI']",www.dell.com/en-ca/shop/dell-24-monitor-e2424hs/apd/210-bgpk/monitors-monitor-accessories
Dell 24 Monitor - P2422H,"Manufacturer part DRFYT
Dell part 210-BBCC",234.99,"['23.8""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'IPS', 'Height, pivot (rotation), swivel, tilt', 'DisplayPort, VGA, HDMI, USB 3.2 Gen 1 upstream, 4 x USB 3.2 Gen 1 downstream']",www.dell.com/en-ca/shop/dell-24-monitor-p2422h/apd/210-bbcc/monitors-monitor-accessories
Dell 24 Touch USB-C Hub Monitor - P2424HT,"Manufacturer part 7N5X8
Dell part 210-BHSF",549.99,"['24""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'IPS', 'Height, swivel, tilt', 'HDMI (HDCP 1.4), DisplayPort 1.2 (HDCP 1.4), USB-C 3.2 Gen 1 (power up to 90W), 2 x USB 3.2 Gen 1 downstream, USB-C 3.2 Gen 1 downstream (power up to 15W), USB 3.2 Gen 1 downstream with Battery Charging 1.2 (power up to 10W), LAN (RJ-45), Audio line-out (mini-jack)']",www.dell.com/en-ca/shop/dell-24-touch-usb-c-hub-monitor-p2424ht/apd/210-bhsf/monitors-monitor-accessories
Dell UltraSharp 24 Monitor - U2424H,"Manufacturer part JWMDR
Dell part 210-BKRR",379.99,"['23.8""', '1920 x 1080 at 120 Hz', 'IPS', '100% sRGB, 100% BT.709, 85% DCI-P3, Delta E < 2 (average) (sRGB and BT.709)', '1 x DisplayPort 1.4 (DRR for Microsoft Windows) (HDCP 1.4)7, 1 x HDMI (HDCP 1.4)(supports up to FHD 1920 x 1080 120Hz TMDS as per specified in HDMI 1.4), 1 x DisplayPort 1.4 (Out) with MST (HDCP 1.4), 1 x USB Type-C upstream port (data only, SuperSpeed USB 10 Gbps, USB 3.2 Gen 2), 2 x USB Type-A downstream port (SuperSpeed USB 10 Gbps, USB 3.2 Gen 2), 1 x audio line-out port, Quick Access: 1 x USB Type-C downstream port (SuperSpeed USB 10 Gbps, USB 3.2 Gen 2) with power charging (15W), 1 x USB Type-A downstream port (SuperSpeed USB 10 Gbps, USB 3.2 Gen 2) with BC1.2 power charging']",www.dell.com/en-ca/shop/dell-ultrasharp-24-monitor-u2424h/apd/210-bkrr/monitors-monitor-accessories
Dell 24 Video Conferencing Monitor - C2423H,"Manufacturer part MMR03
Dell part 210-BGQD",289.99,"['23.8""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'IPS', 'Height, pivot (rotation), swivel, tilt', 'HDMI (HDCP 1.4), DisplayPort 1.2 (HDCP 1.4), DisplayPort output (MST), USB 3.2 Gen 1 upstream, 2 x USB 3.2 Gen 1 downstream with Battery Charging 1.2, 2 x USB 3.2 Gen 1 downstream, Headphones (mini-jack)']",www.dell.com/en-ca/shop/dell-24-video-conferencing-monitor-c2423h/apd/210-bgqd/monitors-monitor-accessories
Dell 24 USB-C® Hub Monitor - P2425HE,"Manufacturer part WKHJY
Dell part 210-BMKK",354.99,"['23.8""', '1920 x 1080', 'In-Plane Switching (IPS) technology', 'Height, Tilt, Swivel, Pivot', '1x HDMI 1.4 (HDCP 1.4) (Supports up to FHD 1920 x 1080 100Hz TMDS as per specified in HDMI 1.4), 1x DP 1.4 (HDCP 1.4), 1x DP-out (1.4) with MST (HDCP 1.4), 1x RJ45, 1x USB 3.2 Gen1 Type-C upstream (Alt. mode with DP1.4) with up to 90W PD, 3x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W PD (data only)']",www.dell.com/en-ca/shop/dell-24-usb-c-hub-monitor-p2425he/apd/210-bmkk/monitors-monitor-accessories
Dell 24 USB-C® Hub Monitor - P2425E,"Manufacturer part 2CMGM
Dell part 210-BLXD",519.99,"['24.07""', '1920 x 1200', 'In-Plane Switching (IPS) technology', 'Height, Tilt, Swivel, Pivot', '1x HDMI 1.4 (HDCP 1.4) (Supports up to WUXGA 1920 x 1200 100Hz TMDS as per specified in HDMI 1.4), 1x DP 1.4 (HDCP 1.4), 1x DP-out (1.4) with MST(HDCP 1.4), 1x RJ45, 1x USB 3.2 Gen1 Type-C upstream (Alt. mode with DP1.4) with up to 90W PD, 3x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W PD (data only)']",www.dell.com/en-ca/shop/dell-24-usb-c-hub-monitor-p2425e/apd/210-blxd/monitors-monitor-accessories
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,"Manufacturer part T7K8Y
Dell part 210-BKRY",449.99,"['23.8""', '1920 x 1080 at 120 Hz', 'IPS', 'Height, Tilt, Swivel, Pivot', '100% sRGB, 100% BT.709, 85% DCI-P3, Delta E < 2 (average) (sRGB, BT.709)']",www.dell.com/en-ca/shop/dell-ultrasharp-24-usb-c-hub-monitor-u2424he/apd/210-bkry/monitors-monitor-accessories
Dell 24 USB-C Hub Monitor - P2423DE,"Manufacturer part 808Y0
Dell part 210-BDKF",489.99,"['24""', 'QHD 2560 x 1440 at 60 Hz', 'IPS', 'Height, pivot (rotation), swivel, tilt', 'HDMI (HDCP 1.4), DisplayPort 1.4 (HDCP 1.4), DisplayPort output (HDCP 1.4, MST), USB-C upstream/DisplayPort 1.4 Alt Mode with Power Delivery (power up to 90W), 4 x USB 3.2 Gen 1 downstream, LAN (RJ-45)']",www.dell.com/en-ca/shop/dell-24-usb-c-hub-monitor-p2423de/apd/210-bdkf/monitors-monitor-accessories
Dell 24 USB-C Hub Monitor - P2422HE,"Manufacturer part KNC9G
Dell part 210-BBCH",349.99,"['23.8""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'IPS', 'Height, pivot (rotation), swivel, tilt', 'DisplayPort (DisplayPort 1.2 mode, HDCP 1.4), DisplayPort output (MST), HDMI (HDCP 1.4), USB-C 3.1 Gen 1 upstream/DisplayPort 1.2 with Power Delivery (power up to 65W), 4 x USB 3.2 Gen 1 downstream, Network (RJ-45)']",www.dell.com/en-ca/shop/dell-24-usb-c-hub-monitor-p2422he/apd/210-bbch/monitors-monitor-accessories
Dell UltraSharp 40 Curved WUHD Monitor - U4021QW,"Manufacturer part 7MH50
Dell part 210-BECU",2399.99,"['40""', 'WUHD 5120 x 2160 (DisplayPort: 60 Hz, HDMI: 30 Hz)', 'IPS', 'Height, swivel, tilt', '100% sRGB, 98% DCI-P3']",www.dell.com/en-ca/shop/dell-ultrasharp-40-curved-wuhd-monitor-u4021qw/apd/210-becu/monitors-monitor-accessories
Dell UltraSharp 40 Curved Thunderbolt™ Hub Monitor - U4025QW,"Manufacturer part K1VW5
Dell part 210-BMDP",2629.99,"['39.7""', '5120 x 2160 at 120 Hz', 'IPS Black Technology', 'Height, Tilt, Swivel', 'DCI-P3 99%, Display P3 99%, sRGB 100%, BT.709 100%, DCI-P3, Display P3, sRGB & BT.709: Delta E < 2 (Average)']",www.dell.com/en-ca/shop/dell-ultrasharp-40-curved-thunderbolt-hub-monitor-u4025qw/apd/210-bmdp/monitors-monitor-accessories
Dell UltraSharp 49 Curved USB-C Hub Monitor - U4924DW,"Manufacturer part 5WHWX
Dell part 210-BGTZ",1739.99,"['49""', '5K Dual QHD 5120 x 1440 at 60 Hz', 'IPS Black', 'Height, pivot (rotation), swivel, tilt', '100% Rec 709, 100% sRGB, 98% DCI-P3, 98% P3']",www.dell.com/en-ca/shop/dell-ultrasharp-49-curved-usb-c-hub-monitor-u4924dw/apd/210-bgtz/monitors-monitor-accessories
Dell UltraSharp 38 Curved USB-C Hub Monitor - U3824DW,"Manufacturer part 55F8G
Dell part 210-BHSM",1559.99,"['38""', 'WQHD+ 3840 x 1600 at 60 Hz', 'IPS Black', 'Height, swivel, tilt', '100% Rec 709, 100% sRGB, 98% DCI-P3, 98% P3']",www.dell.com/en-ca/shop/dell-ultrasharp-38-curved-usb-c-hub-monitor-u3824dw/apd/210-bhsm/monitors-monitor-accessories
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,"Manufacturer part TXRJW
Dell part 210-BFPO",1094.99,"['42.51""', '4K 3840 x 2160 at 60 Hz', 'IPS', 'Height, swivel, tilt', '95% sRGB']",www.dell.com/en-ca/shop/dell-ultrasharp-43-4k-usb-c-hub-monitor-u4323qe/apd/210-bfpo/monitors-monitor-accessories
Dell 27 Monitor – E2723H,"Manufacturer part XYTMT
Dell part 210-BEMI",199.99,"['27""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Tilt', 'VGA, DisplayPort 1.2']",www.dell.com/en-ca/shop/dell-27-monitor-e2723h/apd/210-bemi/monitors-monitor-accessories
Dell 27 Video Conferencing Monitor - P2724DEB,"Manufacturer part H2H4Y
Dell part 210-BGMF",659.99,"['27""', 'QHD (2560 x 1440) at 60 Hz', 'In-Plane Switching (IPS) technology', 'Height, tilt, swivel, and pivot', '1x HDMI (HDCP 1.4), 1x DP 1.4 (HDCP 1.4), 1x DP-out with MST, 1x RJ45, 1x 3.5mm combo headphone with microphone jack, 1x USB 3.2 Gen1 Type-C (Alt mode with DP 1.4 upstream, up to 90W power delivery), 1x USB 3.2 Gen1 Type-B upstream, 2x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W power delivery, 1x USB 3.2 Gen1 Type-A downstream with BC1.2 (2A max)']",www.dell.com/en-ca/shop/dell-27-video-conferencing-monitor-p2724deb/apd/210-bgmf/monitors-monitor-accessories
Dell 34 Curved Video Conferencing Monitor - P3424WEB,"Manufacturer part RC06K
Dell part 210-BGMM",999.99,"['34""', 'WQHD 3440 x 1440 at 60 Hz', 'IPS', 'Height, swivel, tilt', '1x HDMI (HDCP 2.2), 1x DP 1.2 (HDCP 2.2), 1x RJ45, 1x 3.5mm combo headphone with microphone jack, 1x USB 3.2 Gen1 Type-C (Alt mode with DP 1.2 upstream, up to 90W power delivery), 1x USB 3.2 Gen1 Type-B upstream, 2x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W power delivery, 1x USB 3.2 Gen1 Type-A downstream with BC1.2 (2A max)']",www.dell.com/en-ca/shop/dell-34-curved-video-conferencing-monitor-p3424web/apd/210-bgmm/monitors-monitor-accessories
Dell 24 Monitor – E2423H,"Manufacturer part 8DJ9G
Dell part 210-BEMM",174.99,"['24""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Tilt', 'DisplayPort 1.2, VGA']",www.dell.com/en-ca/shop/dell-24-monitor-e2423h/apd/210-bemm/monitors-monitor-accessories
Dell 24 Monitor – S2421HN,"Manufacturer part 7XP37
Dell part 210-AXHJ",139.99,"['23.8""', 'Full HD (1080p) 1920 x 1080 at 75 Hz', 'Tilt', '2 x HDMI (HDCP 1.4), Audio line-out', '1 x HDMI cable']",www.dell.com/en-ca/shop/dell-24-monitor-s2421hn/apd/210-axhj/monitors-monitor-accessories
Dell 24 Video Conferencing Monitor - P2424HEB,"Manufacturer part YNMM5
Dell part 210-BGLQ",559.99,"['23.8""', 'FullHD (1920 x 1080) at 60 Hz', 'In-Plane Switching (IPS) technology', 'Height, tilt, swivel, and pivot', '1x HDMI (HDCP 1.4), 1x DP 1.2 (HDCP 1.4), 1x DP-out with MST, 1x RJ45, 1x 3.5mm combo headphone with microphone jack, 1x USB 3.2 Gen1 Type-C (Alt mode with DP 1.2 upstream, up to 90W power delivery), 1x USB 3.2 Gen1 Type-B upstream, 2x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W power delivery, 1x USB 3.2 Gen1 Type-A downstream with BC1.2 (2A max)']",www.dell.com/en-ca/shop/dell-24-video-conferencing-monitor-p2424heb/apd/210-bglq/monitors-monitor-accessories
Dell 65 4K Interactive Touch Monitor - P6524QT,"Manufacturer part VCKC0
Dell part 210-BJZG",4469.99,"['64.53""', '3840 x 2160', 'IPS', 'USB-C 3.0, 3 x USB 3.1 upstream, 4 x USB 3.1 downstream, DisplayPort, 3 x HDMI, Audio line-out, LAN, RS-232', 'USB-C cable, HDMI cable, SuperSpeed USB cable, DisplayPort cable']",www.dell.com/en-ca/shop/dell-65-4k-interactive-touch-monitor-p6524qt/apd/210-bjzg/monitors-monitor-accessories
Dell 55 4K Interactive Touch Monitor - P5524QT,"Manufacturer part C1H92
Dell part 210-BJZF",3719.99,"['54.64""', '3840 x 2160', 'IPS', 'USB, 3 x USB 3.1 upstream, 4 x USB 3.1 downstream, DisplayPort, 3 x HDMI, Audio line-out, LAN, RS-232', 'USB-C cable, HDMI cable, SuperSpeed USB cable, DisplayPort cable']",www.dell.com/en-ca/shop/dell-55-4k-interactive-touch-monitor-p5524qt/apd/210-bjzf/monitors-monitor-accessories
Dell 22 Monitor - P2225H,"Manufacturer part JWD8W
Dell part 210-BLXJ",214.99,"['21.5""', '1920 x 1080', 'In-Plane Switching (IPS) technology', 'Height, Tilt, Swivel, Pivot', '1x HDMI 1.4 (HDCP 1.4) (Supports up to FHD 1920 x 1080 100Hz TMDS as per specified in HDMI 1.4), 1x DP 1.2 (HDCP 1.4), 1x VGA, 1x USB 3.2 Gen1 Type-B upstream, 3x USB 3.2 Gen1 Type-A downstream, 1x USB 3.2 Gen1 Type-C downstream with up to 15W PD (data only)']",www.dell.com/en-ca/shop/dell-22-monitor-p2225h/apd/210-blxj/monitors-monitor-accessories
Dell 55 4K Conference Room Monitor - P5524Q,"Manufacturer part 68GR3
Dell part 210-BJZD",1439.99,"['54.6""', '3840 x 2160', 'VA', 'USB (power only), 2 x USB 3.0 downstream, USB 3.0 upstream, Audio line-in, Audio line-out, VGA input, DisplayPort, 2 x HDMI, RS-232, LAN', 'VGA cable, HDMI cable, SuperSpeed USB cable, DisplayPort cable']",www.dell.com/en-ca/shop/dell-55-4k-conference-room-monitor-p5524q/apd/210-bjzd/monitors-monitor-accessories
Dell 86 4K Interactive Touch Monitor - P8624QT,"Manufacturer part TFWPP
Dell part 210-BJZJ",8499.99,"['85.6""', '3840 x 2160', 'IPS', '4 x USB 3.1 downstream, 3 x USB 3.1 upstream, USB, DisplayPort, 4 x HDMI, Audio line-out, RS-232, LAN', 'SuperSpeed USB cable, DisplayPort cable, USB-C cable, HDMI cable']",www.dell.com/en-ca/shop/dell-86-4k-interactive-touch-monitor-p8624qt/apd/210-bjzj/monitors-monitor-accessories
Dell 75 4K Interactive Touch Monitor - P7524QT,"Manufacturer part YJ5Y3
Dell part 210-BJZH",5319.99,"['74.52""', '3840 x 2160', 'IPS', '4 x USB 3.0 downstream, 3 x USB 3.0 upstream, VGA input, DisplayPort, 3 x HDMI, Audio line-out, Audio line-in, LAN, RS-232', 'VGA cable, HDMI cable, SuperSpeed USB cable, DisplayPort cable']",www.dell.com/en-ca/shop/dell-75-4k-interactive-touch-monitor-p7524qt/apd/210-bjzh/monitors-monitor-accessories
Dell 22 Monitor - E2222HS,"Manufacturer part P26RD
Dell part 210-BBBK",159.99,"['21.45""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Height, Tilt', 'HDMI (HDCP 1.2), VGA, DisplayPort 1.2']",www.dell.com/en-ca/shop/dell-22-monitor-e2222hs/apd/210-bbbk/monitors-monitor-accessories
Dell 22 Monitor - P2222H,"Manufacturer part FHFF5
Dell part 210-BBBW",204.99,"['22""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'IPS', 'Height, pivot (rotation), swivel, tilt', 'DisplayPort, VGA, HDMI, USB 3.2 Gen 1 upstream, 4 x USB 3.2 Gen 1 downstream']",www.dell.com/en-ca/shop/dell-22-monitor-p2222h/apd/210-bbbw/monitors-monitor-accessories
Dell 22 Monitor – E2223HN,"Manufacturer part NMH1R
Dell part 210-BBBN",134.99,"['21.45""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Tilt', 'VGA, HDMI (HDCP 1.2)']",www.dell.com/en-ca/shop/dell-22-monitor-e2223hn/apd/210-bbbn/monitors-monitor-accessories
Dell 22 Monitor - E2222H,"Manufacturer part C2VGC
Dell part 210-BBBO",139.99,"['21.45""', 'Full HD (1080p) 1920 x 1080 at 60 Hz', 'VA', 'Tilt', 'VGA, DisplayPort (DisplayPort 1.2 mode)']",www.dell.com/en-ca/shop/dell-22-monitor-e2222h/apd/210-bbbo/monitors-monitor-accessories
"Dell 14"" Portable Travel Monitor - P1424H","Manufacturer part MK7J6
Dell part 210-BHRQ",344.99,"['14""', 'Full HD (1080p) 1920 x 1080', 'IPS', 'Tilt', '2 x USB-C/DisplayPort 1.2 Alt Mode (HDCP 1.4 / power up to 65W)']",www.dell.com/en-ca/shop/dell-14-portable-travel-monitor-p1424h/apd/210-bhrq/monitors-monitor-accessories
