Dell_product,Dell_price,Bestbuy_price,Newegg_price
Dell 24 Monitor - SE2422H,99.99,Not sold in this retailer,Not sold in this retailer
Dell 24 Monitor – S2421HN,109.99,139.99,Not sold in this retailer
Dell 24 Monitor - S2425H,119.99,149.99,Not sold in this retailer
Dell 27 Monitor - SE2722H,119.99,159.99,189.99
Dell 22 Monitor - SE2222H,119.99,Not sold in this retailer,138.42
Dell 22 Monitor – E2223HN,134.99,Not sold in this retailer,133.32
Dell 22 Monitor - E2222H,139.99,119.99,Not sold in this retailer
Dell 22 Monitor - E2222HS,159.99,159.99,169.99
Dell 24 Monitor - S2425HS,169.99,169.99,Not sold in this retailer
Dell 27 Monitor - S2721HN,169.99,259.99,Not sold in this retailer
Dell 24 Monitor – E2423H,174.99,Not sold in this retailer,Not sold in this retailer
Dell 24 Monitor - E2424HS,179.99,189.99,178.72
Dell 27 Monitor - S2725HS,179.99,209.99,Not sold in this retailer
Dell 27 Monitor - S2725H,189.99,189.99,Not sold in this retailer
Dell 27 Monitor – E2723H,199.99,199.99,182.42
Dell 27 Monitor - E2724HS,199.99,Not sold in this retailer,192.82
Dell 22 Monitor - P2225H,204.99,214.99,Not sold in this retailer
Dell 22 Monitor - P2222H,214.99,214.99,185.12
Dell 22 Monitor - P2222H,214.99,214.99,185.12
Dell 32 Curved FHD Monitor - S3222HN,219.99,219.99,Not sold in this retailer
Dell 24 Monitor - P2425H,234.99,249.99,Not sold in this retailer
Dell 24 Monitor - P2422H,249.99,219.99,249.99
Dell 27 Curved Gaming Monitor – S2721HGF,249.99,249.99,Not sold in this retailer
Dell 25 Gaming Monitor - G2524H ,249.99,Not sold in this retailer,Not sold in this retailer
Dell 24 Video Conferencing Monitor - C2423H,289.99,Not sold in this retailer,279.22
Dell 27 Monitor - S2725DS,299.99,329.99,Not sold in this retailer
Dell 27 4K UHD Monitor - S2721QS,299.99,599.0,560.28
Dell 27 Curved Gaming Monitor – S2722DGM,299.99,431.5,Not sold in this retailer
Dell 27 Monitor - P2725H,309.99,Not sold in this retailer,311.22
Dell 24 USB-C® Hub Monitor - P2425HE,334.99,354.99,Not sold in this retailer
"Dell 14"" Portable Travel Monitor - P1424H",344.99,369.99,363.55
Alienware 27 Gaming Monitor - AW2724HF,349.99,399.99,Not sold in this retailer
Dell 27 Gaming Monitor - G2724D,349.99,449.99,Not sold in this retailer
